epsilon,chebyshev_error,function_error,error_ratio,chebyshev_desired_error,chebyshev_non_desired_error,func_desired_error,func_non_desired_error
0.001,7.19104019764974e-07,7.191040191450002e-07,0.9999999991378524,6.465347123510667e-06,8.236317967620719e-10,6.465347122885123e-06,8.236311774847883e-10
0.0011327842294266727,9.225455455965743e-07,9.22545544975e-07,0.9999999993262401,8.296320396819501e-06,8.236891937087389e-10,8.296320396192236e-06,8.236885728456156e-10
0.0012832001104377793,1.183600746450095e-06,1.183600745826835e-06,0.9999999994734204,1.0645816615257697e-05,8.237628491447942e-10,1.0645816614635617e-05,8.23762225737393e-10
0.0014535888483024812,1.518585182905471e-06,1.518585182278216e-06,0.9999999995869477,1.3660675787193178e-05,8.238573695078312e-10,1.3660675786565247e-05,8.238567423370865e-10
0.001646602523427531,1.9484345712165414e-06,1.9484345705855464e-06,0.9999999996761528,1.7529319311616974e-05,8.239786664878385e-10,1.752931931099302e-05,8.239780346122894e-10
0.0018652453706728685,2.500012944958114e-06,2.5000129443226257e-06,0.999999999745806,2.249352342999632e-05,8.241343283380723e-10,2.2493523429375828e-05,8.241336909755036e-10
0.002112920539909334,3.2077911155793257e-06,3.2077911149381874e-06,0.9999999998001309,2.8863525367445343e-05,8.243340960724251e-10,2.8863525366824007e-05,8.243334524603227e-10
0.002393483065640984,4.116000188975217e-06,4.116000188328286e-06,0.9999999998428252,3.703740497697756e-05,8.245904749250498e-10,3.703740497635728e-05,8.245898246608678e-10
0.0027112998701579096,5.281394490260463e-06,5.2813944896074156e-06,0.9999999998763495,4.752595105616791e-05,8.249195220316907e-10,4.7525951055550966e-05,8.249188644716369e-10
0.0030713177341614656,6.776796178695713e-06,6.776796178035589e-06,0.9999999999025907,6.0984562873399573e-05,8.253418577311269e-10,6.098456287278349e-05,8.253411921016786e-10
0.003479140292816567,8.69564242945944e-06,8.695642428791338e-06,0.9999999999231681,7.825417479338869e-05,8.258839682825544e-10,7.825417479277196e-05,8.258832937599103e-10
0.003941115255665503,1.115781828935343e-05,1.1157818288677158e-05,0.9999999999393903,0.00010041375196510787,8.265798841317197e-10,0.00010041375196449469,8.265791999653348e-10
0.004464433207970751,1.431713795958993e-05,1.4317137958905105e-05,0.9999999999521675,0.00012884762184955362,8.274733444680377e-10,0.0001288476218489443,8.274726502044998e-10
0.005057239531317996,1.837093911831574e-05,1.837093911762332e-05,0.9999999999623088,0.0001653318231000981,8.286205929427695e-10,0.00016533182309949916,8.286198888363035e-10
0.005728761185510158,2.3572385038382387e-05,2.3572385037684063e-05,0.9999999999703754,0.00021214482459348374,8.300939947094151e-10,0.00021214482459289385,8.300932828381813e-10
0.006489450325097556,3.0246235328357368e-05,3.0246235327657858e-05,0.9999999999768728,0.0002722094620613936,8.319867278401705e-10,0.00027220946206081147,8.319860136612573e-10
0.007351146985918299,3.880905770457026e-05,3.880905770387707e-05,0.9999999999821384,0.00034927484399002636,8.344188882525524e-10,0.00034927484398945656,8.344181796359655e-10
0.008327263373845668,4.9795122194286394e-05,4.9795122193591034e-05,0.9999999999860356,0.00044814939938477857,8.375454748724708e-10,0.00044814939938422535,8.375447617353851e-10
0.00943299262417472,6.38895602201432e-05,6.388956021943113e-05,0.9999999999888548,0.0005749993094468694,8.415668024417026e-10,0.0005749993094463305,8.415660687149209e-10
0.010685545280963242,8.197080188115158e-05,8.197080188041499e-05,0.999999999991014,0.000737730442992163,8.467422751404323e-10,0.0007377304429916529,8.467415102402421e-10
0.01210441717709976,0.00010516484651445571,0.00010516484651369585,0.9999999999927746,0.0009464767913606696,8.534086789863712e-10,0.0009464767913601919,8.534078838253075e-10
0.013711692884619932,0.00013491459858071172,0.00013491459857994126,0.9999999999942892,0.0012142244911890364,8.620046711467069e-10,0.0012142244911885975,8.620038592065743e-10
0.015532389458439372,0.00017306833969575532,0.00017306833969498746,0.9999999999955632,0.0015576080724305403,8.731039071805085e-10,0.0015576080724301474,8.731030925097759e-10
0.01759484582383321,0.00022199243502390458,0.00022199243502314867,0.999999999996595,0.0019979248155322688,8.874603590768772e-10,0.001997924815531936,8.874595502619638e-10
0.019931163868432012,0.0002847146106492254,0.00028471461064848207,0.9999999999973892,0.0025624242472732667,9.060712201851506e-10,0.0025624242472730074,9.060704163991352e-10
0.022577708104278487,0.00036510559731223365,0.0003651055973115019,0.9999999999979958,0.003285942933685203,9.302656125068866e-10,0.0032859429336850312,9.30264810834704e-10
0.025575671677125437,0.00046810859590018473,0.00046810859589946303,0.9999999999984582,0.00421296966844577,9.618319865742319e-10,0.004212969668445699,9.61831183390978e-10
0.028971717532842105,0.0006000278070162952,0.0006000278070155818,0.9999999999988111,0.00540024223750882,1.0032047294327836e-09,0.005400242237508878,1.0032039197281034e-09
0.032818704720607765,0.0007688890068744614,0.0007688890068737624,0.999999999999091,0.006919992599922403,1.057743468960344e-09,0.006919992599922615,1.0577426558495799e-09
